city,lat,lng,country,population,lat_rad,lng_rad,airport_id,own_airport,Linked
Ganzhou,25.8292,114.9336,China,8677600.0,0.4508045831561194,2.005969741170155,[6379],1.0,False
Tongshan,34.260999999999996,117.1859,China,8669000.0,0.5979672550257773,2.045279791912823,[4149],0.0,False
Chicago,41.8373,-87.6862,United States,8604203.0,0.7301986351446236,-1.5304128985622518,"[3747, 3818, 3830, 8593]",1.0,False
Handan,36.6116,114.4894,China,8499000.0,0.638992964423156,1.9982169886327958,[8407],1.0,False
Luanda,-8.8383,13.2344,Angola,8417000.0,-0.15425743527901484,0.2309838545259376,[951],1.0,False
Fuyang,32.8986,115.8045,China,8360000.0,0.5741888892966065,2.0211698136257734,[7503],1.0,False
Kuala Lumpur,3.1478,101.6953,Malaysia,8285000.0,0.05493947419427751,1.7749178188033894,"[3304, 3408]",1.0,False
Jining,35.4,116.5667,China,8023000.0,0.6178465552059926,2.034472713184474,[6944],1.0,False
Dongguan,23.0475,113.7493,China,7981000.0,0.4022547593533931,1.985299806838786,[3374],0.0,False
Hanoi,21.0245,105.8412,Vietnam,7785000.0,0.3669467485855478,1.8472774242618224,"[3197, 3199]",1.0,False
Pune,18.5196,73.8553,India,7764000.0,0.3232279961523419,1.289018155048168,[3017],1.0,False
Chongqing,29.55,106.5069,China,7739000.0,0.5157447939643244,1.8588960810923485,[3393],1.0,False
Changchun,43.9,125.2,China,7674439.0,0.7661995416255106,2.1851522234969005,[4380],1.0,False
Zhumadian,32.9773,114.0253,China,7640000.0,0.575562463417926,1.9901169155742904,[6359],0.0,False
Ningbo,29.875,121.5492,China,7639000.0,0.5214171140333059,2.121433743165092,[3387],0.0,False
Onitsha,6.1667,6.7833,Nigeria,7635000.0,0.10762921898273432,0.11839091915053135,[9825],0.0,False
Nanjing,32.05,118.7667,China,7496000.0,0.5593780252641826,2.0728699567283493,[3388],1.0,False
Hefei,31.8639,117.2808,China,7457027.0,0.5561299675262212,2.046936109372965,[3389],1.0,False
Ahmadābād,23.03,72.58,India,7410000.0,0.4019493267342941,1.2667599710974844,[2994],0.0,False
